#nb_days;#heure_repas_debut;#heure_repas_fin
75;12h15;14h00
#Cours;#Prof;#Groupe;#Batiment;#Salle;#Jour;#heure_debut;#heure_fin;#session_type
Electro;Tom;1_C;CSH;CSH010;37;14h00;15h15;TD
Sport;Kylian;1_C;Gym;Gym;38;16h00;17h45;APS
Elec;Gégé;1_C;Principal;Vinci;38;8h00;9h15;CM
Esp;Leticia;1_C;CSH;CSH006;38;09h30;10h45;TD
Ang;Kate;1_C;CSH;CSH013;39;08h00;09h15;TD
Ang;Kate;1_C;CSH;CSH013;39;09h30;10h45;TD
Elec;Chris;1_C;GM;GM116;39;14h00;15h15;TD
Expr;Barde;1_C;CSH;CSH106;39;15h30;18h15;TD
Penser;Jo;1_E;CSH;CSH215;35;11h00;12h15;TD
Mat2;Gauss;1_E;Principal;Amphi103;35;14h00;15h15;TD
Elec;Gégé;1_E;Principal;Amphi9;35;15h30;16h45;TD
Thermo;Max;1_E;GMM;GMM13;35;17h00;18h15;TD
Elec;Gégé;1_E;Principal;Amphi103;36;08h00;09h15;TD
Sport;Antoine;1_E;Gym;Gym;37;16h00;17h45;APS
Electro;Tom;1_E;Principal;Amphi112;36;14h00;15h15;CM
Esp;Fiore;1_E;CSH;CSH111;36;15h30;18h15;TD
Elec;Chris;1_E;Principal;Amphi101;37;08h00;09h15;TD
Mat2;Gauss;1_E;Principal;Amphi5;37;09h30;10h45;TD
ProfComm;Moore;1_E;CSH;CSH015;37;12h15;15h00;TD
Electro;Tom;1_E_a;GP;GP1;36;09h30;12h30;TP
Electro;Eric;1_E_b;GP;GP1;35;08h00;11h00;TP
Esp;Fiore;1_E;CSH;CSH011;38;09h30;10h45;TD
Mat2;Gauss;1_E;Principal;Amphi7;38;11h00;12h15;TD
Tutorat;Moore;1_E;CSH;CSH206;38;14h00;16h00;TD
SI;Remy;1_E;MFJA;MFJA;39;10h00;12h30;TP
Elec;Gégé;1_E;GP;GP218;39;15h30;16h45;TD
Elec;Gégé;1_G;GB;GB43;35;08h00;09h15;TD
Mat2;Gauss;1_G;Principal;Amphi9;35;09h30;10h45;TD
Mat2;Gauss;1_G;GMM;GMM13;35;11h00;12h15;TD
Electro;Tom;1_G;GB;GB108;35;14h00;15h15;TD
Ang;Kate;1_G;CSH;CSH104;35;15h30;16h45;TD
Ang;Kate;1_G;CSH;CSH104;35;17h00;18h15;TD
Mat2;Euler;1_G;Principal;Riquet;36;08h00;09h15;CM
Mat2;Gauss;1_G;Principal;Amphi101;36;09h30;10h45;TD
Esp;Leticia;1_G;CSH;CSH211;36;11h00;12h15;TD
Thermo;Mayer;1_G;GB;GB108;36;14h00;15h15;TD
Sport;Kylian;1_G;Gym;Gym;36;15h30;17h15;APS
InvSym;Lau;1_G;GP;GP218;37;08h00;09h15;TD
SI;Remy;1_G;MFJA;MFJA;37;10h00;12h30;TP
Elec;Gégé;1_G;Principal;Vinci;37;13h30;15h15;CM
Elec;Gégé;1_G;Principal;Vinci;38;08h00;09h15;CM
Elec;Chris;1_G;GP;GP218;38;09h30;10h45;TD
Penser;Gwen;1_G;GB;GB42;38;11h00;12h15;TD
Expr;Barde;1_G;CSH;CSH211;39;09h30;12h15;TD
Electro;Tom;1_G;GP;GP1;39;15h30;18h30;TP
Electro;Tom;1_C;GB;GB42;40;09h30;10h45;TD
Electro;Tom;1_C;GB;GB43;40;11h00;12h15;TD
Elec;Gégé;1_C;Principal;Vinci;40;14h00;15h15;CM
SI;Remy;1_C;MFJA;MFJA;40;16h00;18h30;TP
Penser;Seb;1_C;GB;GB42;41;08h00;09h15;TD
Electro;Eric;1_C;GP;GP2;41;09h30;12h30;TP
Thermo;Max;1_C;GB;GB42;41;14h00;15h15;TD
Elec;Gégé;1_C;GB;GB42;41;15h30;16h45;TD
Elec;Gégé;1_C;Principal;Vinci;42;08h00;09h15;CM
Mat2;Euler;1_C;Principal;Vinci;42;09h30;10h45;CM
Mat2;Gauss;1_C;Principal;Amphi102;42;11h00;12h15;TD
Electro;Tom;1_C;CSH;CSH010;42;14h00;15h15;TD
Sport;Kylian;1_C;Gym;Gym;43;16h00;17h45;APS
Elec;Gégé;1_C;Principal;Vinci;43;8h00;9h15;CM
Esp;Leticia;1_C;CSH;CSH006;43;09h30;10h45;TD
Ang;Kate;1_C;CSH;CSH013;44;08h00;09h15;TD
Ang;Kate;1_C;CSH;CSH013;44;09h30;10h45;TD
Elec;Chris;1_C;GM;GM116;44;14h00;15h15;TD
Expr;Barde;1_C;CSH;CSH106;44;15h30;18h15;TD
Penser;Jo;1_E;CSH;CSH215;40;11h00;12h15;TD
Mat2;Gauss;1_E;Principal;Amphi103;40;14h00;15h15;TD
Elec;Gégé;1_E;Principal;Amphi9;40;15h30;16h45;TD
Thermo;Max;1_E;GMM;GMM13;40;17h00;18h15;TD
Elec;Gégé;1_E;Principal;Amphi103;41;08h00;09h15;TD
Sport;Antoine;1_E;Gym;Gym;42;16h00;17h45;APS
Electro;Tom;1_E;Principal;Amphi112;41;14h00;15h15;CM
Esp;Fiore;1_E;CSH;CSH111;41;15h30;18h15;TD
Elec;Chris;1_E;Principal;Amphi101;42;08h00;09h15;TD
Mat2;Gauss;1_E;Principal;Amphi5;42;09h30;10h45;TD
ProfComm;Moore;1_E;CSH;CSH015;42;12h15;15h00;TD
Electro;Tom;1_E_a;GP;GP1;41;09h30;12h30;TP
Electro;Eric;1_E_b;GP;GP1;40;08h00;11h00;TP
Esp;Fiore;1_E;CSH;CSH011;43;09h30;10h45;TD
Mat2;Gauss;1_E;Principal;Amphi7;43;11h00;12h15;TD
Tutorat;Moore;1_E;CSH;CSH206;43;14h00;16h00;TD
SI;Remy;1_E;MFJA;MFJA;44;10h00;12h30;TP
Elec;Gégé;1_E;GP;GP218;44;15h30;16h45;TD
Elec;Gégé;1_G;GB;GB43;40;08h00;09h15;TD
Mat2;Gauss;1_G;Principal;Amphi9;40;09h30;10h45;TD
Mat2;Gauss;1_G;GMM;GMM13;40;11h00;12h15;TD
Electro;Tom;1_G;GB;GB108;40;14h00;15h15;TD
Ang;Kate;1_G;CSH;CSH104;40;15h30;16h45;TD
Ang;Kate;1_G;CSH;CSH104;40;17h00;18h15;TD
Mat2;Euler;1_G;Principal;Riquet;41;08h00;09h15;CM
Mat2;Gauss;1_G;Principal;Amphi101;41;09h30;10h45;TD
Esp;Leticia;1_G;CSH;CSH211;41;11h00;12h15;TD
Thermo;Mayer;1_G;GB;GB108;41;14h00;15h15;TD
Sport;Kylian;1_G;Gym;Gym;41;15h30;17h15;APS
InvSym;Lau;1_G;GP;GP218;42;08h00;09h15;TD
SI;Remy;1_G;MFJA;MFJA;42;10h00;12h30;TP
Elec;Gégé;1_G;Principal;Vinci;42;13h30;15h15;CM
Elec;Gégé;1_G;Principal;Vinci;43;08h00;09h15;CM
Elec;Chris;1_G;GP;GP218;43;09h30;10h45;TD
Penser;Gwen;1_G;GB;GB42;43;11h00;12h15;TD
Expr;Barde;1_G;CSH;CSH211;44;09h30;12h15;TD
Electro;Tom;1_G;GP;GP1;44;15h30;18h30;TP
Electro;Tom;1_C;GB;GB42;45;09h30;10h45;TD
Electro;Tom;1_C;GB;GB43;46;08h00;09h15;TD
Exam_Penser;Seb;1_C;Exam;Examen;45;11h00;12h15;Exam
Elec;Gégé;1_C;Principal;Vinci;45;14h00;15h15;CM
SI;Remy;1_C;MFJA;MFJA;45;16h00;18h30;TP
Electro;Eric;1_C;GP;GP2;46;09h30;12h30;TP
Thermo;Max;1_C;GB;GB42;46;14h00;15h15;TD
Elec;Gégé;1_C;GB;GB42;46;15h30;16h45;TD
Elec;Gégé;1_C;Principal;Vinci;47;08h00;09h15;CM
Mat2;Euler;1_C;Principal;Vinci;47;09h30;10h45;CM
Mat2;Gauss;1_C;Principal;Amphi102;47;11h00;12h15;TD
Electro;Tom;1_C;CSH;CSH010;47;14h00;15h15;TD
Sport;Kylian;1_C;Gym;Gym;48;16h00;17h45;APS
Elec;Gégé;1_C;Principal;Vinci;48;8h00;9h15;CM
Esp;Leticia;1_C;CSH;CSH006;48;09h30;10h45;TD
Ang;Kate;1_C;CSH;CSH013;49;08h00;09h15;TD
Ang;Kate;1_C;CSH;CSH013;49;09h30;10h45;TD
Elec;Chris;1_C;GM;GM116;49;14h00;15h15;TD
Expr;Barde;1_C;CSH;CSH106;49;15h30;18h15;TD
Exam_Penser;Jo;1_E;Principal;Vinci;45;11h00;12h15;Exam
Mat2;Gauss;1_E;Principal;Amphi103;45;14h00;15h15;TD
Elec;Gégé;1_E;Principal;Amphi9;45;15h30;16h45;TD
Thermo;Max;1_E;GMM;GMM13;45;17h00;18h15;TD
Elec;Gégé;1_E;Principal;Amphi103;46;08h00;09h15;TD
Sport;Antoine;1_E;Gym;Gym;47;16h00;17h45;APS
Electro;Tom;1_E;Principal;Amphi112;46;14h00;15h15;CM
Esp;Fiore;1_E;CSH;CSH111;46;15h30;18h15;TD
Elec;Chris;1_E;Principal;Amphi101;47;08h00;09h15;TD
Mat2;Gauss;1_E;Principal;Amphi5;47;09h30;10h45;TD
ProfComm;Moore;1_E;CSH;CSH015;47;12h15;15h00;TD
Electro;Tom;1_E_a;GP;GP1;46;09h30;12h30;TP
Electro;Eric;1_E_b;GP;GP1;45;08h00;11h00;TP
Esp;Fiore;1_E;CSH;CSH011;48;09h30;10h45;TD
Mat2;Gauss;1_E;Principal;Amphi7;48;11h00;12h15;TD
Tutorat;Moore;1_E;CSH;CSH206;48;14h00;16h00;TD
SI;Remy;1_E;MFJA;MFJA;49;10h00;12h30;TP
Elec;Gégé;1_E;GP;GP218;49;15h30;16h45;TD
Elec;Gégé;1_G;GB;GB43;45;08h00;09h15;TD
Mat2;Gauss;1_G;Principal;Amphi9;45;09h30;10h45;TD
Mat2;Euler;1_G;GB;GB42;48;11h00;12h15;TD
Exam_Penser;Gwen;1_G;Principal;Riquet;45;11h00;12h15;Exam
Electro;Tom;1_G;GB;GB108;45;14h00;15h15;TD
Ang;Kate;1_G;CSH;CSH104;45;15h30;16h45;TD
Ang;Kate;1_G;CSH;CSH104;45;17h00;18h15;TD
Mat2;Euler;1_G;Principal;Riquet;46;08h00;09h15;CM
Mat2;Gauss;1_G;Principal;Amphi101;46;09h30;10h45;TD
Esp;Leticia;1_G;CSH;CSH211;46;11h00;12h15;TD
Thermo;Mayer;1_G;GB;GB108;46;14h00;15h15;TD
Sport;Kylian;1_G;Gym;Gym;46;15h30;17h15;APS
InvSym;Lau;1_G;GP;GP218;47;08h00;09h15;TD
SI;Remy;1_G;MFJA;MFJA;47;10h00;12h30;TP
Elec;Gégé;1_G;Principal;Vinci;47;13h30;15h15;CM
Elec;Gégé;1_G;Principal;Vinci;48;08h00;09h15;CM
Elec;Chris;1_G;GP;GP218;48;09h30;10h45;TD
Expr;Barde;1_G;CSH;CSH211;49;09h30;12h15;TD
Electro;Tom;1_G;GP;GP1;49;15h30;18h30;TP
Electro;Tom;1_C;GB;GB42;50;09h30;10h45;TD
Electro;Tom;1_C;GB;GB43;50;11h00;12h15;TD
Elec;Gégé;1_C;Principal;Vinci;50;14h00;15h15;CM
SI;Remy;1_C;MFJA;MFJA;50;16h00;18h30;TP
Electro;Eric;1_C;GP;GP2;51;09h30;12h30;TP
Thermo;Max;1_C;GB;GB42;51;14h00;15h15;TD
Elec;Gégé;1_C;GB;GB42;51;15h30;16h45;TD
Elec;Gégé;1_C;Principal;Vinci;52;08h00;09h15;CM
Mat2;Euler;1_C;Principal;Vinci;52;09h30;10h45;CM
Mat2;Gauss;1_C;Principal;Amphi102;52;11h00;12h15;TD
Electro;Tom;1_C;CSH;CSH010;52;14h00;15h15;TD
Sport;Kylian;1_C;Gym;Gym;53;16h00;17h45;APS
Elec;Gégé;1_C;Principal;Vinci;53;8h00;9h15;CM
Esp;Leticia;1_C;CSH;CSH006;53;09h30;10h45;TD
Ang;Kate;1_C;CSH;CSH013;54;08h00;09h15;TD
Ang;Kate;1_C;CSH;CSH013;54;09h30;10h45;TD
Elec;Chris;1_C;GM;GM116;54;14h00;15h15;TD
Expr;Barde;1_C;CSH;CSH106;54;15h30;18h15;TD
Mat2;Gauss;1_E;Principal;Amphi103;50;14h00;15h15;TD
Elec;Gégé;1_E;Principal;Amphi9;50;15h30;16h45;TD
Thermo;Max;1_E;GMM;GMM13;50;17h00;18h15;TD
Elec;Gégé;1_E;Principal;Amphi103;51;08h00;09h15;TD
Sport;Antoine;1_E;Gym;Gym;52;16h00;17h45;APS
Electro;Tom;1_E;Principal;Amphi112;51;14h00;15h15;CM
Esp;Fiore;1_E;CSH;CSH111;51;15h30;18h15;TD
Elec;Chris;1_E;Principal;Amphi101;52;08h00;09h15;TD
Mat2;Gauss;1_E;Principal;Amphi5;52;09h30;10h45;TD
ProfComm;Moore;1_E;CSH;CSH015;52;12h15;15h00;TD
Electro;Tom;1_E_a;GP;GP1;51;09h30;12h30;TP
Electro;Eric;1_E_b;GP;GP1;50;08h00;11h00;TP
Esp;Fiore;1_E;CSH;CSH011;53;09h30;10h45;TD
Mat2;Gauss;1_E;Principal;Amphi7;53;11h00;12h15;TD
Tutorat;Moore;1_E;CSH;CSH206;53;14h00;16h00;TD
SI;Remy;1_E;MFJA;MFJA;54;10h00;12h30;TP
Elec;Gégé;1_E;GP;GP218;54;15h30;16h45;TD
Elec;Gégé;1_G;GB;GB43;50;08h00;09h15;TD
Mat2;Gauss;1_G;Principal;Amphi9;50;09h30;10h45;TD
Mat2;Gauss;1_G;GMM;GMM13;50;11h00;12h15;TD
Electro;Tom;1_G;GB;GB108;50;14h00;15h15;TD
Ang;Kate;1_G;CSH;CSH104;50;15h30;16h45;TD
Ang;Kate;1_G;CSH;CSH104;50;17h00;18h15;TD
Mat2;Euler;1_G;Principal;Riquet;51;08h00;09h15;CM
Mat2;Gauss;1_G;Principal;Amphi101;51;09h30;10h45;TD
Esp;Leticia;1_G;CSH;CSH211;51;11h00;12h15;TD
Thermo;Mayer;1_G;GB;GB108;51;14h00;15h15;TD
Sport;Kylian;1_G;Gym;Gym;51;15h30;17h15;APS
InvSym;Lau;1_G;GP;GP218;52;08h00;09h15;TD
SI;Remy;1_G;MFJA;MFJA;52;10h00;12h30;TP
Elec;Gégé;1_G;Principal;Vinci;52;13h30;15h15;CM
Elec;Gégé;1_G;Principal;Vinci;53;08h00;09h15;CM
Elec;Chris;1_G;GP;GP218;53;09h30;10h45;TD
Expr;Barde;1_G;CSH;CSH211;54;09h30;12h15;TD
Electro;Tom;1_G;GP;GP1;54;15h30;18h30;TP
Electro;Tom;1_C;GB;GB42;55;09h30;10h45;TD
Electro;Tom;1_C;GB;GB43;55;11h00;12h15;TD
Elec;Gégé;1_C;Principal;Vinci;55;14h00;15h15;CM
SI;Remy;1_C;MFJA;MFJA;55;16h00;18h30;TP
Electro;Eric;1_C;GP;GP2;56;09h30;12h30;TP
Thermo;Max;1_C;GB;GB42;56;14h00;15h15;TD
Elec;Gégé;1_C;GB;GB42;56;15h30;16h45;TD
Elec;Gégé;1_C;Principal;Vinci;57;08h00;09h15;CM
Mat2;Euler;1_C;Principal;Vinci;57;09h30;10h45;CM
Mat2;Gauss;1_C;Principal;Amphi102;57;11h00;12h15;TD
Electro;Tom;1_C;CSH;CSH010;57;14h00;15h15;TD
Sport;Kylian;1_C;Gym;Gym;58;16h00;17h45;APS
Elec;Gégé;1_C;Principal;Vinci;58;8h00;9h15;CM
Esp;Leticia;1_C;CSH;CSH006;58;09h30;10h45;TD
Ang;Kate;1_C;CSH;CSH013;59;08h00;09h15;TD
Ang;Kate;1_C;CSH;CSH013;59;09h30;10h45;TD
Elec;Chris;1_C;GM;GM116;59;14h00;15h15;TD
Expr;Barde;1_C;CSH;CSH106;59;15h30;18h15;TD
Mat2;Gauss;1_E;Principal;Amphi103;55;14h00;15h15;TD
Elec;Gégé;1_E;Principal;Amphi9;55;15h30;16h45;TD
Thermo;Max;1_E;GMM;GMM13;55;17h00;18h15;TD
Elec;Gégé;1_E;Principal;Amphi103;56;08h00;09h15;TD
Sport;Antoine;1_E;Gym;Gym;57;16h00;17h45;APS
Electro;Tom;1_E;Principal;Amphi112;56;14h00;15h15;CM
Esp;Fiore;1_E;CSH;CSH111;56;15h30;18h15;TD
Elec;Chris;1_E;Principal;Amphi101;57;08h00;09h15;TD
Mat2;Gauss;1_E;Principal;Amphi5;57;09h30;10h45;TD
ProfComm;Moore;1_E;CSH;CSH015;57;12h15;15h00;TD
Electro;Tom;1_E_a;GP;GP1;56;09h30;12h30;TP
Electro;Eric;1_E_b;GP;GP1;55;08h00;11h00;TP
Esp;Fiore;1_E;CSH;CSH011;58;09h30;10h45;TD
Mat2;Gauss;1_E;Principal;Amphi7;58;11h00;12h15;TD
Tutorat;Moore;1_E;CSH;CSH206;58;14h00;16h00;TD
SI;Remy;1_E;MFJA;MFJA;59;10h00;12h30;TP
Elec;Gégé;1_E;GP;GP218;59;15h30;16h45;TD
Elec;Gégé;1_G;GB;GB43;55;08h00;09h15;TD
Mat2;Gauss;1_G;Principal;Amphi9;55;09h30;10h45;TD
Mat2;Gauss;1_G;GMM;GMM13;55;11h00;12h15;TD
Electro;Tom;1_G;GB;GB108;55;14h00;15h15;TD
Ang;Kate;1_G;CSH;CSH104;55;15h30;16h45;TD
Ang;Kate;1_G;CSH;CSH104;55;17h00;18h15;TD
Mat2;Euler;1_G;Principal;Riquet;56;08h00;09h15;CM
Mat2;Gauss;1_G;Principal;Amphi101;56;09h30;10h45;TD
Esp;Leticia;1_G;CSH;CSH211;56;11h00;12h15;TD
Thermo;Mayer;1_G;GB;GB108;56;14h00;15h15;TD
Sport;Kylian;1_G;Gym;Gym;56;15h30;17h15;APS
InvSym;Lau;1_G;GP;GP218;57;08h00;09h15;TD
SI;Remy;1_G;MFJA;MFJA;57;10h00;12h30;TP
Elec;Gégé;1_G;Principal;Vinci;57;13h30;15h15;CM
Elec;Gégé;1_G;Principal;Vinci;58;08h00;09h15;CM
Elec;Chris;1_G;GP;GP218;58;09h30;10h45;TD
Expr;Barde;1_G;CSH;CSH211;59;09h30;12h15;TD
Electro;Tom;1_G;GP;GP1;59;15h30;18h30;TP
Electro;Tom;1_C;GB;GB42;60;09h30;10h45;TD
Electro;Tom;1_C;GB;CSH006;63;09h30;10h45;TD
Exam_Esp;Leticia;1_C;Exam;Examen;60;11h00;12h15;Exam
Elec;Gégé;1_C;Principal;Vinci;60;14h00;15h15;CM
SI;Remy;1_C;MFJA;MFJA;60;16h00;18h30;TP
Electro;Eric;1_C;GP;GP2;61;09h30;12h30;TP
Thermo;Max;1_C;GB;GB42;61;14h00;15h15;TD
Elec;Gégé;1_C;GB;GB42;61;15h30;16h45;TD
Elec;Gégé;1_C;Principal;Vinci;62;08h00;09h15;CM
Mat2;Euler;1_C;Principal;Vinci;62;09h30;10h45;CM
Mat2;Gauss;1_C;Principal;Amphi102;62;11h00;12h15;TD
Electro;Tom;1_C;CSH;CSH010;62;14h00;15h15;TD
Sport;Kylian;1_C;Gym;Gym;63;16h00;17h45;APS
Elec;Gégé;1_C;Principal;Vinci;63;8h00;9h15;CM
Ang;Kate;1_C;CSH;CSH013;64;08h00;09h15;TD
Ang;Kate;1_C;CSH;CSH013;64;09h30;10h45;TD
Exam_Expr;Kate;1_C;Exam;Examen;64;11h00;12h30;Exam
Elec;Chris;1_C;GM;GM116;64;14h00;15h15;TD
Exam_Esp;Jo;1_E;Principal;Vinci;60;11h00;12h15;Exam
Mat2;Gauss;1_E;Principal;Amphi103;60;14h00;15h15;TD
Elec;Gégé;1_E;Principal;Amphi9;60;15h30;16h45;TD
Thermo;Max;1_E;GMM;GMM13;60;17h00;18h15;TD
Elec;Gégé;1_E;Principal;Amphi103;61;08h00;09h15;TD
Sport;Antoine;1_E;Gym;Gym;62;16h00;17h45;APS
Electro;Tom;1_E;Principal;Amphi112;61;14h00;15h15;CM
Elec;Chris;1_E;Principal;Amphi101;62;08h00;09h15;TD
Mat2;Gauss;1_E;Principal;Amphi5;62;09h30;10h45;TD
ProfComm;Moore;1_E;CSH;CSH015;62;12h15;15h00;TD
Electro;Tom;1_E_a;GP;GP1;61;09h30;12h30;TP
Electro;Eric;1_E_b;GP;GP1;60;08h00;11h00;TP
Mat2;Gauss;1_E;Principal;Amphi7;63;11h00;12h15;TD
Tutorat;Moore;1_E;CSH;CSH206;63;14h00;16h00;TD
SI;Remy;1_E;MFJA;MFJA;64;10h00;12h30;TP
Elec;Gégé;1_E;GP;GP218;64;15h30;16h45;TD
Elec;Gégé;1_G;GB;GB43;60;08h00;09h15;TD
Mat2;Gauss;1_G;Principal;Amphi9;60;09h30;10h45;TD
Exam_Esp;Fiore;1_G;Principal;Riquet;60;11h00;12h15;Exam
Mat2;Gauss;1_G;CSH;CSH211;61;11h00;12h15;TD
Electro;Tom;1_G;GB;GB108;60;14h00;15h15;TD
Ang;Kate;1_G;CSH;CSH104;60;15h30;16h45;TD
Ang;Kate;1_G;CSH;CSH104;60;17h00;18h15;TD
Mat2;Euler;1_G;Principal;Riquet;61;08h00;09h15;CM
Mat2;Gauss;1_G;Principal;Amphi101;61;09h30;10h45;TD
Thermo;Mayer;1_G;GB;GB108;61;14h00;15h15;TD
Sport;Kylian;1_G;Gym;Gym;61;15h30;17h15;APS
InvSym;Lau;1_G;GP;GP218;62;08h00;09h15;TD
SI;Remy;1_G;MFJA;MFJA;62;10h00;12h30;TP
Elec;Gégé;1_G;Principal;Vinci;62;13h30;15h15;CM
Elec;Gégé;1_G;Principal;Vinci;63;08h00;09h15;CM
Elec;Chris;1_G;GP;GP218;63;09h30;10h45;TD
Exam_Expr;Barde;1_G;Principal;Vinci;64;11h00;12h30;Exam
Electro;Tom;1_G;GP;GP1;64;15h30;18h30;TP
Electro;Tom;1_C;GB;GB42;65;09h30;10h45;TD
Electro;Tom;1_C;GB;GB43;65;11h00;12h15;TD
Elec;Gégé;1_C;Principal;Vinci;65;14h00;15h15;CM
Exam_Ang;Kate;1_C;Exam;Examen;65;15h30;16h45;Exam
Exam_SI;Remy;1_C;Exam;Examen;65;17h00;18h15;Exam
Electro;Eric;1_C;GP;GP2;66;09h30;12h30;TP
Thermo;Max;1_C;GB;GB42;66;14h00;15h15;TD
Elec;Gégé;1_C;GB;GB42;66;15h30;16h45;TD
Elec;Gégé;1_C;Principal;Vinci;67;08h00;09h15;CM
Mat2;Euler;1_C;Principal;Vinci;67;09h30;10h45;CM
Mat2;Gauss;1_C;Principal;Amphi102;67;11h00;12h15;TD
Electro;Tom;1_C;CSH;CSH010;67;14h00;15h15;TD
Elec;Gégé;1_C;Principal;Vinci;68;8h00;9h15;CM
Exam_Sport;Kylian;1_C;Gym;Gym;69;11h00;13h00;APS
Elec;Chris;1_C;GM;GM116;69;14h00;15h15;TD
Mat2;Gauss;1_E;Principal;Amphi103;65;14h00;15h15;TD
Elec;Gégé;1_E;Principal;Amphi9;65;15h30;16h45;TD
Exam_SI;Remy;1_E;Exam;Examen;65;17h00;18h15;Exam
Thermo;Max;1_E;GMM;GMM13;69;11h00;12h15;TD
Elec;Gégé;1_E;Principal;Amphi103;66;08h00;09h15;TD
Electro;Tom;1_E;Principal;Amphi112;66;14h00;15h15;CM
Elec;Chris;1_E;Principal;Amphi101;67;08h00;09h15;TD
Mat2;Gauss;1_E;Principal;Amphi5;67;09h30;10h45;TD
ProfComm;Moore;1_E;CSH;CSH015;67;12h15;15h00;TD
Electro;Tom;1_E_a;GP;GP1;66;09h30;12h30;TP
Electro;Eric;1_E_b;GP;GP1;65;08h00;11h00;TP
Mat2;Gauss;1_E;Principal;Amphi7;68;11h00;12h15;TD
Tutorat;Moore;1_E;CSH;CSH206;68;14h00;16h00;TD
Elec;Gégé;1_E;GP;GP218;69;14h00;15h15;TD
Exam_Sport;Antoine;1_E;Gym;Gym;69;15h30;17h30;APS
Elec;Gégé;1_G;GB;GB43;65;08h00;09h15;TD
Mat2;Gauss;1_G;Principal;Amphi9;65;09h30;10h45;TD
Mat2;Gauss;1_G;GMM;GMM13;65;11h00;12h15;TD
Electro;Tom;1_G;GB;GB108;65;14h00;15h15;TD
Exam_Ang;Moore;1_G;Principal;Vinci;65;15h30;16h45;Exam
Exam_SI;Remy;1_G;Exam;Examen;65;17h00;18h15;Exam
Mat2;Euler;1_G;Principal;Riquet;66;08h00;09h15;CM
Mat2;Gauss;1_G;Principal;Amphi101;66;09h30;10h45;TD
Thermo;Mayer;1_G;GB;GB108;66;14h00;15h15;TD
InvSym;Lau;1_G;GP;GP218;67;08h00;09h15;TD
Elec;Gégé;1_G;Principal;Vinci;67;13h30;15h15;CM
Elec;Gégé;1_G;Principal;Vinci;68;08h00;09h15;CM
Elec;Chris;1_G;GP;GP218;68;09h30;10h45;TD
Exam_Sport;Kylian;1_G;Gym;Gym;69;08h00;10h00;Exam
Electro;Tom;1_G;GP;GP1;69;15h30;18h30;TP
Electro;Tom;1_C;GB;GB42;70;09h30;10h45;TD
Electro;Tom;1_C;GB;GB43;70;11h00;12h15;TD
Exam_Elec;Gégé;1_C;Exam;Examen;70;15h30;16h45;Exam
Electro;Eric;1_C;GP;GP2;71;09h30;12h30;TP
Thermo;Max;1_C;GB;GB42;71;14h00;15h15;TD
Exam_Mat2;Euler;1_C;Exam;Examen;71;15h30;18h00;Exam
Exam_Electro;Tom;1_C;Exam;Examen;72;09h30;12h30;Exam
Exam_InvSym;Lau;1_C;Exam;Examen;73;09h00;10h00;Exam
Exam_Thermo;Max;1_C;Exam;Examen;74;09h00;11h00;Exam
Exam_Elec;Gégé;1_E;Exam;Examen;70;15h30;16h45;Exam
Thermo;Max;1_E;GMM;GMM13;70;17h00;18h15;TD
Electro;Tom;1_E;Principal;Amphi112;71;14h00;15h15;CM
Exam_Mat2;Euler;1_E;Exam;Examen;71;15h30;18h00;Exam
Exam_Electro;Tom;1_E;Exam;Examen;72;09h30;12h30;Exam
ProfComm;Moore;1_E;CSH;CSH015;72;14h;15h00;TD
Electro;Tom;1_E_a;GP;GP1;71;09h30;12h30;TP
Electro;Eric;1_E_b;GP;GP1;70;08h00;11h00;TP
Tutorat;Moore;1_E;CSH;CSH206;73;14h00;16h00;TD
Exam_Thermo;Max;1_E;Exam;Examen;74;09h00;11h00;Exam
Electro;Tom;1_G;GB;GB108;70;14h00;15h15;TD
Exam_Elec;Gégé;1_G;Exam;Examen;70;15h30;16h45;Exam
Thermo;Mayer;1_G;GB;GB108;71;14h00;15h15;TD
Exam_Mat2;Euler;1_G;Exam;Examen;71;15h30;18h00;Exam
InvSym;Lau;1_G;GP;GP218;72;08h00;09h15;TD
Exam_Electro;Tom;1_G;Exam;Examen;72;09h30;12h30;Exam
Exam_InvSym;Lau;1_G;Exam;Examen;73;09h00;10h00;Exam
Exam_Thermo;Max;1_G;Exam;Examen;74;09h00;11h00;Exam

